Band1_wl,Band1_resp,Band2_wl,Band2_resp,Band3_wl,Band3_resp,Band4_wl,Band4_resp,Band5_wl,Band5_resp,Band6_wl,Band6_resp,Band7_wl,Band7_resp,Band8_wl,Band8_resp,Band9_wl,Band9_resp,Band10_wl,Band10_resp,Band11_wl,Band11_resp,Band12_wl,Band12_resp,Band13_wl,Band13_resp,Band14_wl,Band14_resp,Band15_wl,Band15_resp,Band16_wl,Band16_resp,Band17_wl,Band17_resp,Band18_wl,Band18_resp,Badn19_wl,Band19_resp,Band20_wl,Band20_resp,Band21_wl,Band21_resp
391.65204,0.131431030000000,405.62870,0.038805306000000,436.69287,0.040307622000000,484.17844,0.040994380000000,504.16010,0.039786800000000,554.16080,0.041100778000000,614.12300,0.038332246000000,658.97687,0.037657157000000,668.57420,0.010701210000000,676.11690,0.010716206000000,702.83685,0.037393484000000,748.75024,0.009598381000000,757.96680,0.000417189300000,760.66050,0.000859476500000,764.16090,0.000394677770000,771.26510,0.252710600000000,855.97266,0.734054900000000,878.09300,0.032504726000000,893.10925,0.032621983000000,929.79810,0.751330550000000,1003.14746,0.952608600000000
391.77032,0.161599620000000,405.72305,0.050007490000000,436.78778,0.051985430000000,484.27230,0.052896917000000,504.25476,0.051406596000000,554.25446,0.053145945000000,614.21840,0.049693630000000,659.07250,0.048993807000000,668.65380,0.013996682000000,676.19590,0.014018116500000,702.93195,0.048804020000000,748.82850,0.012647873000000,758.02230,0.000532558700000,760.72565,0.001112098300000,764.21950,0.000504085400000,771.38070,0.311112020000000,856.11560,0.801640000000000,878.18450,0.043034825000000,893.20330,0.043134145000000,929.94257,0.818788050000000,1003.39210,0.948985300000000
391.88867,0.195118430000000,405.81616,0.063810830000000,436.88090,0.066346190000000,484.36750,0.067514470000000,504.34943,0.065695220000000,554.34850,0.067964630000000,614.31190,0.063723184000000,659.16490,0.063044730000000,668.73600,0.018169466000000,676.27637,0.018199466000000,703.02386,0.062994180000000,748.90860,0.016538024000000,758.07620,0.000677425200000,760.78674,0.001432807400000,764.27950,0.000641560400000,771.50360,0.375116830000000,856.26360,0.856325750000000,878.28094,0.056343120000000,893.29846,0.056417980000000,930.08856,0.872215600000000,1003.63650,0.948617000000000
392.00687,0.231351480000000,405.90950,0.080600040000000,436.97440,0.083768590000000,484.46216,0.085218350000000,504.44280,0.083023390000000,554.44360,0.085941400000000,614.40607,0.080809540000000,659.25800,0.080217230000000,668.81910,0.023406116000000,676.36260,0.023447243000000,703.12020,0.080394596000000,748.99567,0.021455891000000,758.13370,0.000858649500000,760.84610,0.001838080600000,764.33160,0.000813655000000,771.62040,0.443019570000000,856.40330,0.898210600000000,878.37366,0.072924020000000,893.39120,0.072969890000000,930.23150,0.911978660000000,1003.88090,0.944304300000000
392.12497,0.269432400000000,406.00375,0.100747410000000,437.06912,0.104610850000000,484.55563,0.106354700000000,504.53662,0.103738270000000,554.53810,0.107435820000000,614.49994,0.101322874000000,659.35443,0.100902110000000,668.89950,0.029917417000000,676.44135,0.029973017000000,703.21564,0.101421550000000,749.07370,0.027615270000000,758.19390,0.001084508400000,760.91140,0.002347836300000,764.38560,0.001028286500000,771.74190,0.512651300000000,856.55230,0.928949650000000,878.46870,0.093274980000000,893.48710,0.093292030000000,930.37800,0.940172500000000,1004.12510,0.934154700000000
392.24307,0.308325800000000,406.09827,0.124585226000000,437.16406,0.129184230000000,484.64938,0.131218780000000,504.63132,0.128137950000000,554.63153,0.132755380000000,614.59310,0.125589550000000,659.44870,0.125446230000000,668.98145,0.037936950000000,676.52185,0.038011063000000,703.30780,0.126448480000000,749.15380,0.035255987000000,758.24880,0.001364933300000,760.97656,0.002986018300000,764.44420,0.001294967600000,771.86030,0.581585500000000,856.69370,0.951063200000000,878.56396,0.117863920000000,893.58030,0.117858870000000,930.52136,0.959799400000000,1004.36945,0.924063600000000
392.36148,0.346918300000000,406.19120,0.152371360000000,437.25708,0.157724650000000,484.74466,0.160025880000000,504.72607,0.156444090000000,554.72565,0.162126240000000,614.68960,0.153861300000000,659.54126,0.154119220000000,669.06430,0.047717437000000,676.60815,0.047815263000000,703.40220,0.155771090000000,749.24120,0.044640783000000,758.30414,0.001711800700000,761.03766,0.003781210200000,764.50390,0.001625084900000,771.98060,0.647376660000000,856.83990,0.967126900000000,878.65466,0.147091540000000,893.67480,0.147077960000000,930.66724,0.973772900000000,1004.61370,0.919799030000000
392.47983,0.384120820000000,406.28467,0.184261750000000,437.35062,0.190362700000000,484.83923,0.192881930000000,504.81934,0.188772000000000,554.82060,0.195662510000000,614.78110,0.186285720000000,659.63570,0.187080350000000,669.14500,0.059525490000000,676.68690,0.059652940000000,703.49830,0.189571300000000,749.31890,0.056050625000000,758.35880,0.002139222300000,761.09674,0.004767328000000,764.55927,0.002032198200000,772.10016,0.707851650000000,856.98520,0.979113700000000,878.75200,0.181241600000000,893.76980,0.181242470000000,930.81146,0.984166200000000,1004.85810,0.919343530000000
392.59796,0.418991300000000,406.37910,0.220287350000000,437.44543,0.227096350000000,484.93277,0.229758040000000,504.91318,0.225106140000000,554.91516,0.233337520000000,614.87510,0.222873870000000,659.73050,0.224346520000000,669.22705,0.073632870000000,676.76746,0.073797190000000,703.59130,0.227879850000000,749.39886,0.069776500000000,758.41895,0.002663898000000,761.16205,0.005984301700000,764.61285,0.002532376700000,772.21954,0.761370800000000,857.12730,0.988076500000000,878.84717,0.220435230000000,893.86310,0.220482740000000,930.95430,0.991891740000000,1005.10230,0.915648200000000
392.71600,0.450815770000000,406.47345,0.260322150000000,437.54022,0.267764360000000,485.02650,0.270465460000000,505.00790,0.265273300000000,555.00880,0.274962900000000,614.97076,0.263477240000000,659.82660,0.265762950000000,669.30914,0.090306590000000,676.85376,0.090516240000000,703.68646,0.270546440000000,749.48690,0.086108950000000,758.47565,0.003305491500000,761.22723,0.007478809000000,764.66940,0.003144552700000,772.34030,0.807000760000000,857.27637,0.994333000000000,878.93870,0.264586330000000,893.95746,0.264718920000000,931.10160,0.996996160000000,1005.34680,0.906033600000000
392.83432,0.479178070000000,406.56638,0.304064120000000,437.63342,0.312034340000000,485.12164,0.314646800000000,505.10270,0.308933700000000,555.10280,0.320169660000000,615.06433,0.307770580000000,659.91907,0.310984160000000,669.39075,0.109795320000000,676.93256,0.110059900000000,703.77800,0.317215170000000,749.56415,0.105324960000000,758.53130,0.004087018000000,761.28815,0.009304962000000,764.72800,0.003890934200000,772.45850,0.844564600000000,857.41490,0.997865800000000,879.03516,0.313363900000000,894.05237,0.313625840000000,931.24506,0.999167100000000,1005.59120,0.895718700000000
392.95264,0.503950700000000,406.65997,0.351033330000000,437.72687,0.359396960000000,485.21643,0.361770660000000,505.19595,0.355577470000000,555.19780,0.368411780000000,615.15845,0.355241800000000,660.01160,0.359466020000000,669.47266,0.132314220000000,677.01290,0.132643610000000,703.87460,0.367315860000000,749.64390,0.127671230000000,758.58484,0.005035275000000,761.34740,0.011525085000000,764.78710,0.004797420500000,772.58040,0.874585200000000,857.56384,0.998840300000000,879.12756,0.366171660000000,894.14530,0.366608170000000,931.39100,0.998447000000000,1005.83624,0.890812900000000
393.07090,0.525283100000000,406.75430,0.400572300000000,437.82156,0.409174230000000,485.30994,0.411144820000000,505.28980,0.404530730000000,555.29224,0.418976000000000,615.25214,0.405206600000000,660.10820,0.410478200000000,669.55410,0.158028840000000,677.09894,0.158434720000000,703.97015,0.420076280000000,749.73206,0.153346390000000,758.64340,0.006181316000000,761.41266,0.014210239000000,764.83950,0.005894057500000,772.69720,0.898093900000000,857.70667,0.997897860000000,879.22296,0.422150880000000,894.24120,0.422801970000000,931.53430,0.995521960000000,1006.08120,0.890191140000000
393.18912,0.543521700000000,406.84882,0.451880750000000,437.91656,0.460549740000000,485.40363,0.461941240000000,505.38446,0.454987320000000,555.38605,0.471005000000000,615.34530,0.456826840000000,660.20260,0.463129900000000,669.63640,0.187036780000000,677.17790,0.187530260000000,704.06230,0.474542620000000,749.80950,0.182480340000000,758.70310,0.007560844500000,761.47770,0.017440611000000,764.89400,0.007215457000000,772.82020,0.916364000000000,857.85140,0.996103500000000,879.31810,0.480206850000000,894.33450,0.481102170000000,931.67944,0.991679670000000,1006.32590,0.887055100000000
393.30756,0.559119050000000,406.94156,0.504044300000000,438.00974,0.512594000000000,485.49875,0.513239150000000,505.47930,0.506044700000000,555.47990,0.523547300000000,615.44200,0.509153400000000,660.29550,0.516407970000000,669.71800,0.219352630000000,677.25850,0.219942970000000,704.15650,0.529632750000000,749.88930,0.215117320000000,758.75836,0.009214711000000,761.53890,0.021305919000000,764.95264,0.008801331000000,772.93600,0.930650600000000,857.99800,0.994603200000000,879.40920,0.539055500000000,894.42883,0.540214400000000,931.82477,0.988311500000000,1006.57120,0.878016000000000
